event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session,touch_count,credit
2019-10-01 01:32:09+00:00,view,2501614,2053013564003713919,appliances.kitchen.oven,redmond,164.71,306441847,47641f8a-3aba-471a-8d07-014deccec567,2,0.5
2019-10-01 02:56:47+00:00,view,2501614,2053013564003713919,appliances.kitchen.oven,redmond,164.71,306441847,47641f8a-3aba-471a-8d07-014deccec567,2,0.5
2019-10-01 03:05:49+00:00,view,26500447,2053013563550729061,,,26.77,362699320,6c48ec39-b4be-4e62-a646-6c5d92de098c,7,0.14285714285714285
2019-10-01 03:18:39+00:00,view,26203366,2053013563693335403,,,310.69,362699320,6c48ec39-b4be-4e62-a646-6c5d92de098c,7,0.14285714285714285
2019-10-01 03:20:58+00:00,view,26500136,2053013563550729061,,lucente,91.38,362699320,6c48ec39-b4be-4e62-a646-6c5d92de098c,7,0.14285714285714285
2019-10-01 03:21:24+00:00,view,26203385,2053013563693335403,,,209.27,362699320,6c48ec39-b4be-4e62-a646-6c5d92de098c,7,0.14285714285714285
2019-10-01 03:22:01+00:00,view,26403231,2053013563651392361,,,78.77,362699320,6c48ec39-b4be-4e62-a646-6c5d92de098c,7,0.14285714285714285
2019-10-01 03:25:01+00:00,view,26402004,2053013563651392361,,sokolov,106.77,362699320,6c48ec39-b4be-4e62-a646-6c5d92de098c,7,0.14285714285714285
2019-10-01 03:25:33+00:00,view,26403421,2053013563651392361,,,65.64,362699320,6c48ec39-b4be-4e62-a646-6c5d92de098c,7,0.14285714285714285
2019-10-01 04:03:21+00:00,view,4700546,2053013560899928785,auto.accessories.videoregister,playme,102.79,370076704,8664f1b9-1405-4d14-a2a8-c15f299cf7e4,1,1.0
2019-10-01 04:25:36+00:00,view,26500121,2053013563550729061,,lucente,97.56,372804920,c7ca225b-fc10-4134-a5eb-1333cd6a87ea,2,0.5
2019-10-01 04:26:09+00:00,view,26500121,2053013563550729061,,lucente,97.56,372804920,c7ca225b-fc10-4134-a5eb-1333cd6a87ea,2,0.5
2019-10-01 02:37:31+00:00,view,11800030,2053013561243861733,,sony,378.13,372944259,1c817fed-1de0-4a5c-a80d-479f023a5ece,2,0.5
2019-10-01 02:37:47+00:00,view,11800004,2053013561243861733,,sony,308.63,372944259,1c817fed-1de0-4a5c-a80d-479f023a5ece,2,0.5
2019-10-01 03:52:37+00:00,view,25400008,2053013561604571899,,,43.48,391615981,c4a84d86-18b1-4447-a616-aac76ccf05b8,1,1.0
2019-10-01 02:23:02+00:00,view,7202317,2053013553165631753,,lego,24.45,400972610,a6b41834-75dd-4cd5-ace6-cbe1a4fe54df,5,0.2
2019-10-01 02:23:27+00:00,view,7203226,2053013553165631753,,lego,44.45,400972610,a6b41834-75dd-4cd5-ace6-cbe1a4fe54df,5,0.2
2019-10-01 02:23:49+00:00,view,7203227,2053013553165631753,,lego,24.45,400972610,a6b41834-75dd-4cd5-ace6-cbe1a4fe54df,5,0.2
2019-10-01 02:23:56+00:00,view,7203226,2053013553165631753,,lego,44.45,400972610,a6b41834-75dd-4cd5-ace6-cbe1a4fe54df,5,0.2
