user_id,event_time,event_type,product_id,category_id,category_code,brand,price,user_session
306441847,2019-10-01 02:56:47+00:00,view,2501614,2053013564003713919,appliances.kitchen.oven,redmond,164.71,47641f8a-3aba-471a-8d07-014deccec567
362699320,2019-10-01 03:25:33+00:00,view,26403421,2053013563651392361,,sokolov,65.64,6c48ec39-b4be-4e62-a646-6c5d92de098c
370076704,2019-10-01 04:03:21+00:00,view,4700546,2053013560899928785,auto.accessories.videoregister,playme,102.79,8664f1b9-1405-4d14-a2a8-c15f299cf7e4
372804920,2019-10-01 04:26:09+00:00,view,26500121,2053013563550729061,,lucente,97.56,c7ca225b-fc10-4134-a5eb-1333cd6a87ea
372944259,2019-10-01 02:37:47+00:00,view,11800004,2053013561243861733,,sony,308.63,1c817fed-1de0-4a5c-a80d-479f023a5ece
391615981,2019-10-01 03:52:37+00:00,view,25400008,2053013561604571899,,,43.48,c4a84d86-18b1-4447-a616-aac76ccf05b8
400972610,2019-10-01 02:24:02+00:00,view,7202317,2053013553165631753,,lego,24.45,a6b41834-75dd-4cd5-ace6-cbe1a4fe54df
409686912,2019-10-01 03:15:00+00:00,view,4803981,2053013554658804075,electronics.audio.headphone,huawei,41.16,041a0df4-818f-4f5f-becd-8837bab489a1
414175028,2019-10-01 03:25:57+00:00,view,1004751,2053013555631882655,electronics.smartphone,samsung,203.86,90144db6-9316-4d24-ada5-69efa95eda27
414824833,2019-10-01 03:50:27+00:00,view,1004659,2053013555631882655,electronics.smartphone,samsung,787.11,27bf2149-23af-43e9-b940-313029038764
418056247,2019-10-01 03:09:09+00:00,view,5600378,2053013562913194819,,braun,440.14,c7acba82-ca0b-463c-8135-aad85b4f0f32
418226573,2019-10-01 04:02:24+00:00,view,1600282,2053013553056579841,computers.peripherals.printer,hp,38.35,7f725b0b-a5f0-4a38-9ba8-0e6d097c3a52
420339201,2019-10-01 03:48:48+00:00,view,17300136,2053013553853497655,,montale,102.96,09c4f0a1-39e8-4bbb-b7af-c9e823295d6c
428099415,2019-10-01 02:45:30+00:00,view,2601831,2053013563970159485,,hansa,437.31,bb343f67-81be-4b84-9cdb-9ee646429d78
434894256,2019-10-01 02:45:58+00:00,view,1307073,2053013558920217191,computers.notebook,acer,669.0,20a5a6bc-23ff-43d4-bc15-6bdb53c71edf
438919966,2019-10-01 03:17:53+00:00,view,6000268,2053013560807654091,auto.accessories.alarm,pandora,275.43,5769387f-8d12-4dc4-97e6-2adb213f7efe
441518854,2019-10-01 02:30:29+00:00,view,5100746,2053013553375346967,,huawei,63.89,42f14279-7d4f-4411-89dd-47d49ee566e7
442188017,2019-10-01 01:28:43+00:00,view,1701268,2053013553031414015,computers.peripherals.monitor,aoc,313.93,910514ea-9b37-4e99-b0de-d0418f57c51e
443779465,2019-10-01 02:48:58+00:00,view,21404902,2053013561579406073,electronics.clocks,,133.85,66d261d9-6a81-45f6-afcc-054a7309259b
444990139,2019-10-01 02:45:49+00:00,view,1005100,2053013555631882655,electronics.smartphone,samsung,154.42,3aa0ea60-72b9-4c7f-9471-edaafb7a71a7
445162060,2019-10-01 04:22:29+00:00,view,2602161,2053013563970159485,,shivaki,151.66,302109eb-14b9-4524-b106-0fc0161a5381
445306726,2019-10-01 02:30:08+00:00,view,12701987,2053013553559896355,,tunga,38.61,1c28f23f-7e88-4403-b77d-6009c3e05405
450756413,2019-10-01 03:40:05+00:00,view,6301318,2053013554834964853,appliances.kitchen.kettle,gorenje,35.78,a87ab3e1-a69c-4280-a2d3-5cb898463478
451508091,2019-10-01 02:54:42+00:00,view,1201297,2172371436436455782,electronics.tablet,apple,384.31,c2be20e6-43af-4efe-aa64-70e59799639d
452859779,2019-10-01 04:24:30+00:00,view,12718788,2053013553559896355,,michelin,167.96,d4ca3ebd-d0a9-4577-9381-4b5b3b4012b5
456364940,2019-10-01 03:45:00+00:00,view,1004249,2053013555631882655,electronics.smartphone,apple,738.61,6acaa8de-4660-4c99-94f0-74dcbf3a6c11
457035150,2019-10-01 03:52:43+00:00,view,1004870,2053013555631882655,electronics.smartphone,samsung,286.86,38850a79-8888-40e4-8f0b-11e119731f06
457360398,2019-10-01 04:22:53+00:00,purchase,6200373,2053013552293216471,appliances.environment.air_heater,electrolux,51.46,b7360dbb-427a-428b-a4fb-1f8872884d4d
458126552,2019-10-01 02:27:11+00:00,view,13200179,2053013557192163841,furniture.bedroom.bed,brw,170.15,8e99c323-eec7-4a06-a816-5d5e6ddb798a
459555560,2019-10-01 03:42:22+00:00,view,2300294,2053013560530830019,electronics.camera.video,gopro,437.51,cc172d78-f926-40cd-ba9f-b829a975eee4
460690368,2019-10-01 02:48:51+00:00,view,15200403,2053013553484398879,,bars,40.93,1f14ae0e-86f7-4664-8df1-2a155d4756f7
461597049,2019-10-01 02:21:36+00:00,view,11500842,2053013554625249641,,marshall,356.77,2caed953-dd85-4233-b13f-1b5d403bc235
462745712,2019-10-01 04:20:48+00:00,view,5100566,2053013553341792533,electronics.clocks,apple,453.27,01692d20-e835-469b-afd0-b819d83b44a6
463264821,2019-10-01 03:46:21+00:00,view,12704965,2053013553559896355,,viatti,97.69,226b755d-561c-42cc-9254-c19876accfcb
463389113,2019-10-01 02:48:02+00:00,view,1004750,2053013555631882655,electronics.smartphone,samsung,197.43,946d3372-5af2-4a5a-b30b-ef7eef464fba
463517957,2019-10-01 03:14:07+00:00,view,28716714,2053013565480109009,apparel.shoes.keds,,89.84,b375d4eb-21d4-4df0-a37e-0d35c28c9736
463570586,2019-10-01 03:34:02+00:00,view,12300061,2053013556311359947,construction.tools.drill,bosch,95.19,b69b5796-5512-4691-9bea-4017f40b9234
464569119,2019-10-01 03:27:02+00:00,view,10700955,2053013561277416167,,,57.91,34c55e56-9128-4198-b0e9-aa685dd46c19
464590906,2019-10-01 03:39:43+00:00,view,12600010,2053013554751078769,appliances.kitchen.grill,clatronic,43.73,2b4cff15-8e33-4fd9-95ff-30f73bac500c
